nama_kabupaten_kota,produksi_bawang_merah_ton,produksi_cabai_besar_ton,produksi_cabai_rawit_ton,produksi_daging_ayam_ton,produksi_telur_ayam_ton,produksi_daging_sapi_ton,tahun_data
Kab. Bogor,132.22,4112.56,4477.82,37260.25,242900.97,8955.70,2024
Kab. Sukabumi,399.20,6963.20,16755.80,59604.58,125694.16,2718.84,2024
Kab. Cianjur,631.80,12545.00,19482.90,51740.21,86638.82,1967.86,2024
Kab. Bandung,87632.60,34867.20,37861.80,31582.02,11277.28,9596.66,2024
Kab. Garut,37082.20,53316.60,53357.20,7225.09,9569.83,660.00,2024
Kab. Tasikmalaya,29.86,6088.45,3147.47,38932.36,48841.11,2408.76,2024
Kab. Ciamis,174.50,1635.00,1723.50,141488.56,59918.01,1779.64,2024
Kab. Kuningan,3956.30,567.60,918.40,29897.63,57059.05,2639.62,2024
Kab. Cirebon,32094.40,4153.70,94.35,25779.78,1972.14,5466.75,2024
Kab. Majalengka,31978.25,3788.93,6279.94,40320.56,11018.63,2269.02,2024
Kab. Sumedang,1635.78,2067.29,6339.63,19537.81,20224.78,1332.09,2024
Kab. Indramayu,2272.09,3363.98,1056.69,40430.74,1207.02,1638.39,2024
Kab. Subang,423.56,1512.60,1531.25,114750.60,5822.11,1383.10,2024
Kab. Purwakarta,7.50,1909.62,2538.43,74264.06,19974.10,3652.27,2024
Kab. Karawang,0.00,1.10,44.80,92041.02,1841.69,2645.10,2024
Kab. Bekasi,216.46,331.31,571.09,8902.88,5652.57,2359.65,2024
Kab. Bandung Barat,823.55,6287.10,5967.61,7675.05,1553.03,5742.15,2024
Kab. Pangandaran,94.70,226.50,255.60,4017.54,5810.72,665.54,2024
Kota Bogor,0.00,13.00,253.50,977.56,230.21,2672.15,2024
Kota Sukabumi,0.91,7.76,1.38,8627.34,5197.64,963.96,2024
Kota Bandung,127.92,11.00,21.04,15.55,63.44,5615.46,2024
Kota Cirebon,126.00,1.40,1.00,5417.33,3.25,380.49,2024
Kota Bekasi,0.00,0.00,485.00,2459.93,2201.22,4543.69,2024
Kota Depok,0.16,0.00,23.35,2798.06,972.00,5624.80,2024
Kota Cimahi,3.16,0.11,8.16,430.98,0.00,435.34,2024
Kota Tasikmalaya,16.58,124.54,116.69,8511.88,3685.67,6397.16,2024
Kota Banjar,32.00,238.50,441.50,2887.41,925.22,727.52,2024
