kelompok_komoditas,kepulauan_seribu,jakarta_selatan,jakarta_timur,jakarta_pusat,jakarta_barat,jakarta_utara
Padi-padian,98655,93854,76489,75144,82601,81743
Umbi-umbian,3659,13763,11061,7310,8820,10819
Ikan/Udang/Cumi/Kerang,86097,88521,82266,65519,79058,93139
Daging,25821,82238,75595,68641,69354,65740
Telur dan Susu,36037,73028,61213,54570,59059,63471
Sayur-sayuran,62931,95158,77260,71966,64585,75380
Kacang-kacangan,9742,23135,16901,14893,15335,16583
Buah-buahan,49372,65925,58789,45604,62099,62564
Minyak dan Kelapa,20671,24879,18706,16412,18350,18669
Bumbu-bumbuan,17933,21447,17495,13959,13146,18713
Makanan Jadi,240805,548414,381514,513175,454593,556671
Total Makanan,837989,1273855,983082,1073067,1050291,1205110
