location,lat,lon,R2,coef_nearest_production_km,coef_nearest_distribution_km,coef_rain_mm
Bandung,-6.9175,107.6191,0.396370986443339,-0.34000636450762295,0.214570633759408,-0.5384419342221441
Bekasi,-6.2383,106.9756,0.28793327394115376,-0.40740938637090324,0.3270230164871475,-0.5677630354941703
Bogor,-6.5971,106.806,0.31190791751330493,-0.3986910294136952,0.3985027634751406,-0.5989774357394108
Cirebon,-6.732,108.5523,0.4654228247176294,-0.3747684745643408,0.0724400538926914,-0.47329453076873673
Depok,-6.4025,106.7942,0.2918945790714541,-0.4150758887460082,0.38407532467659644,-0.5883188376948812
Jakarta Pusat,-6.1805,106.8284,0.2720185121547648,-0.42712104625779307,0.35488998816412554,-0.5723621443100801
Kab. Cirebon,-6.75,108.5,0.46209901733915615,-0.37193065008000425,0.07791624442521856,-0.475874115244193
Kab. Tasikmalaya,-7.35,108.25,0.46380876643219204,-0.3584641023552395,0.13130360648963013,-0.4897537103417344
Sukabumi,-6.9277,106.93,0.35020360951191165,-0.36195650995898204,0.3899542059615177,-0.6047402009962465
Tasikmalaya,-7.3196,108.2207,0.46118138189755997,-0.35640730447559565,0.13327950262355792,-0.4918211613113824
