date,cpi_index
2020-10-01,104.92
2020-11-01,105.21
2020-12-01,105.67
2021-01-01,105.94
2021-02-01,106.05
2021-03-01,106.14
2021-04-01,106.27
2021-05-01,106.61
2021-06-01,106.44
2021-07-01,106.52
2021-08-01,106.55
2021-09-01,106.51
2021-10-01,106.64
2021-11-01,107.03
2021-12-01,107.64
2022-01-01,108.24
2022-02-01,108.22
2022-03-01,108.94
2022-04-01,109.97
2022-05-01,110.41
2022-06-01,111.08
2022-07-01,111.79
2022-08-01,111.55
2022-09-01,112.85
2022-10-01,112.73
2022-11-01,112.83
2022-12-01,113.57
2023-01-01,113.96
2023-02-01,114.14
2023-03-01,114.35
2023-04-01,114.73
2023-05-01,114.83
2023-06-01,114.99
2023-07-01,115.23
2023-08-01,115.21
2023-09-01,115.43
2023-10-01,115.62
2023-11-01,116.06
2023-12-01,116.53
2024-01-01,116.58
2024-02-01,117.01
2024-03-01,117.62
2024-04-01,117.91
2024-05-01,117.88
2024-06-01,117.79
2024-07-01,117.58
2024-08-01,117.54
2024-09-01,117.4
2024-10-01,117.49
2024-11-01,117.84
2024-12-01,118.36
2025-01-01,117.46
2025-02-01,116.9
2025-03-01,118.83
2025-04-01,120.22
2025-05-01,119.78
2025-06-01,120.01
2025-07-01,120.37
2025-08-01,120.27
2025-09-01,120.52
2025-10-01,120.86
