,name,latitude,longitude,facility_type,search_location,degree,in_degree,out_degree,betweenness,criticality_score
16603,Unnamed,-6.8193657,107.6185286,distribution,Bandung,104,91,13,9.226156152692884e-07,2.0
16611,Unnamed,-6.8193657,107.6185286,distribution,Bandung,104,91,13,9.226156152692884e-07,2.0
16605,Unnamed,-6.8193657,107.6185286,distribution,Bandung,104,91,13,9.226156152692884e-07,2.0
16604,Unnamed,-6.8193657,107.6185286,distribution,Bandung,95,82,13,9.226156152692884e-07,1.9134615384615383
16606,Unnamed,-6.8193657,107.6185286,distribution,Bandung,95,82,13,9.226156152692884e-07,1.9134615384615383
15114,Unnamed,-6.8029894,107.582282,distribution,Bandung,70,57,13,6.919617114519662e-07,1.423076923076923
15116,Unnamed,-6.8029894,107.582282,distribution,Bandung,70,57,13,6.919617114519662e-07,1.423076923076923
15115,Unnamed,-6.8029894,107.582282,distribution,Bandung,70,57,13,6.919617114519662e-07,1.423076923076923
15113,Unnamed,-6.8029894,107.582282,distribution,Bandung,61,48,13,6.919617114519662e-07,1.3365384615384615
15118,Unnamed,-6.8029894,107.582282,distribution,Bandung,61,48,13,6.919617114519662e-07,1.3365384615384615
380,Pasar Induk Cikurubuk,-7.3389769,108.2033273,distribution,Kab. Tasikmalaya,83,70,13,2.306539038173221e-07,1.0480769230769231
381,Pasar Induk Cikurubuk,-7.3389769,108.2033273,distribution,Kab. Tasikmalaya,83,70,13,2.306539038173221e-07,1.0480769230769231
379,Pasar Induk Cikurubuk,-7.3389769,108.2033273,distribution,Kab. Tasikmalaya,83,70,13,2.306539038173221e-07,1.0480769230769231
383,Pasar Induk Cikurubuk,-7.3389769,108.2033273,distribution,Kab. Tasikmalaya,74,61,13,2.306539038173221e-07,0.9615384615384616
382,Pasar Induk Cikurubuk,-7.3389769,108.2033273,distribution,Kab. Tasikmalaya,74,61,13,2.306539038173221e-07,0.9615384615384616
13737,Pasar Ujungberung,-6.9137913,107.702436,distribution,Bandung,27,14,13,4.6223227217900216e-07,0.7606173886234007
13739,Pasar Ujungberung,-6.9137913,107.702436,distribution,Bandung,27,14,13,4.613078076346442e-07,0.7596153846153846
13741,Pasar Ujungberung,-6.9137913,107.702436,distribution,Bandung,27,14,13,4.613078076346442e-07,0.7596153846153846
14929,Penampungan Susu,-6.8113781,107.6364377,distribution,Bandung,49,36,13,2.306539038173221e-07,0.7211538461538461
14925,Penampungan Susu,-6.8113781,107.6364377,distribution,Bandung,49,36,13,2.306539038173221e-07,0.7211538461538461
