clean_loc,price,search_location,connectivity_index,facility_count,production_ton,rain_mm,temperature_max_c
Bandung,63067.307692307695,Bandung,3558.3346185623795,3631.0,37861.8,6.278142076502733,28.248087431693985
Bandung,63067.307692307695,Bandung,3558.3346185623795,3631.0,21.04,6.278142076502733,28.248087431693985
Bekasi,54457.692307692305,Bekasi,4645.0333796940195,1438.0,571.09,7.474863387978143,32.30956284153005
Bekasi,54457.692307692305,Bekasi,4645.0333796940195,1438.0,485.0,7.474863387978143,32.30956284153005
Bogor,50991.346153846156,Bogor,1916.7014925373135,1407.0,4477.82,6.491256830601094,30.883879781420767
Bogor,50991.346153846156,Bogor,1916.7014925373135,1407.0,253.5,6.491256830601094,30.883879781420767
Cirebon,54945.402298850575,Cirebon,672.6443719412724,613.0,94.35,5.787704918032787,32.60355191256831
Cirebon,54945.402298850575,Cirebon,672.6443719412724,613.0,94.35,6.435519125683061,32.86311475409836
Cirebon,54945.402298850575,Cirebon,672.6443719412724,613.0,1.0,5.787704918032787,32.60355191256831
Cirebon,54945.402298850575,Cirebon,672.6443719412724,613.0,1.0,6.435519125683061,32.86311475409836
DKI Jakarta,59858.10810810811,0,0.0,0.0,0.0,6.831147540983606,32.054098360655736
Depok,57345.192307692305,Depok,6401.120964881164,2819.0,23.35,8.145628415300546,32.03688524590164
Jakarta Pusat,59858.10810810811,Jakarta Pusat,8431.043220583984,6918.0,0.0,6.393715846994535,31.11120218579235
Jawa Barat,54186.45038167939,0,0.0,0.0,0.0,6.278142076502733,28.248087431693985
Cirebon,53938.69731800766,Cirebon,672.6443719412724,613.0,94.35,5.787704918032787,32.60355191256831
Cirebon,53938.69731800766,Cirebon,672.6443719412724,613.0,94.35,6.435519125683061,32.86311475409836
Cirebon,53938.69731800766,Cirebon,672.6443719412724,613.0,1.0,5.787704918032787,32.60355191256831
Cirebon,53938.69731800766,Cirebon,672.6443719412724,613.0,1.0,6.435519125683061,32.86311475409836
Tasikmalaya,48090.99616858237,Tasikmalaya,86.0,47.0,3147.47,8.64808743169399,28.437158469945356
Tasikmalaya,48090.99616858237,Tasikmalaya,86.0,47.0,3147.47,8.64808743169399,28.486885245901643
Tasikmalaya,48090.99616858237,Tasikmalaya,86.0,47.0,116.69,8.64808743169399,28.437158469945356
Tasikmalaya,48090.99616858237,Tasikmalaya,86.0,47.0,116.69,8.64808743169399,28.486885245901643
Semua Provinsi,56873.85496183206,0,0.0,0.0,0.0,0.0,0.0
Sukabumi,49728.846153846156,Sukabumi,323.9520958083832,334.0,16755.8,9.024043715846995,27.785792349726776
Sukabumi,49728.846153846156,Sukabumi,323.9520958083832,334.0,1.38,9.024043715846995,27.785792349726776
Tasikmalaya,55733.71647509579,Tasikmalaya,86.0,47.0,3147.47,8.64808743169399,28.437158469945356
Tasikmalaya,55733.71647509579,Tasikmalaya,86.0,47.0,3147.47,8.64808743169399,28.486885245901643
Tasikmalaya,55733.71647509579,Tasikmalaya,86.0,47.0,116.69,8.64808743169399,28.437158469945356
Tasikmalaya,55733.71647509579,Tasikmalaya,86.0,47.0,116.69,8.64808743169399,28.486885245901643
