,Bandung,Bekasi,Bogor,Cirebon,DKI Jakarta,Depok,Jakarta Pusat,Jawa Barat,Kab. Cirebon,Kab. Tasikmalaya,Sukabumi,Tasikmalaya
Bandung,0.0,0.016347014479042746,0.017173760503247894,0.010795006367978319,0.0007611120935178744,0.017299914446988057,0.033245400557622894,0.88705561789232,0.005585776305998017,0.004647717665775815,0.005992259159906361,0.0010964205276018622
Bekasi,0.05388617399623275,0.0,0.09782636069799759,0.0162305279572082,0.015351550355299472,0.1767761274666789,0.6083892770981754,0.002199893841360029,0.007357831924042006,0.005269457605515707,0.015468006693915008,0.0012447923635751216
Bogor,0.0847585757883839,0.1464654681186546,0.0,0.022623536892727388,0.007884521961370043,0.3359532620595345,0.33413339721629814,0.0034602543667759497,0.010281688111640647,0.008149373246492678,0.04437288135128917,0.0019170408868329685
Cirebon,0.21217859007393475,0.09677705489884819,0.09009919485227805,0.0,0.004674811022695527,0.09814418415759066,0.20678253821548728,0.008662154667071665,0.19646524294217224,0.0481110171994112,0.026318279040302824,0.0117869329302077
DKI Jakarta,0.011344211892707795,0.06941271744120317,0.023811284607121504,0.0035449581322297315,0.0,0.05089975597557402,0.8340088331759269,0.0004631255111857781,0.0015918856308803568,0.001161510441745748,0.0034875328005695067,0.0002741843908555016
Depok,0.05805155337887411,0.17995114069239068,0.22841809429797214,0.016755438682386253,0.011459347327882122,0.0,0.4662286618348568,0.0023699447425697046,0.007570071093518152,0.005754759451315561,0.02208483481090381,0.0013561536873305017
Jakarta Pusat,0.06501334986754968,0.3609222227007417,0.1323953133884148,0.0205734051954847,0.1094248392273651,0.2717065154553622,0.0,0.0026541588940756176,0.00922174004085675,0.0067180986225570515,0.019784380483324614,0.001585976124267839
Jawa Barat,0.9948288571822426,0.0007484457831155011,0.0007862982347859351,0.0004942478643532391,3.484741128736199e-05,0.0007920741755448278,0.0015221360381884028,0.0,0.00025574399086820336,0.00021279510656339903,0.00027435475176931383,5.0199461281259004e-05
Kab. Cirebon,0.19094953990759125,0.07630377736792296,0.07121660297789645,0.3416977743714695,0.003651079017388102,0.07711966689096934,0.16120443213821223,0.007795482323213531,0.0,0.039288793876499174,0.021111642149356978,0.009661208979480465
Kab. Tasikmalaya,0.20903889547587642,0.07189759723977875,0.07426656283914075,0.11009136251330127,0.003504973792110459,0.07713378602897647,0.15451219594004412,0.008533977171848069,0.05169172005738812,0.0,0.024016706352374503,0.21531222258916116
Sukabumi,0.15182474172001076,0.11889057092303822,0.22779875445055964,0.033925854403419574,0.005928496347785266,0.1667539877063438,0.2563323650280901,0.006198219125731193,0.0156472817275835,0.013529384744014005,0.0,0.003170343823423788
Tasikmalaya,0.12270510826364214,0.04226136289357356,0.04347089804879393,0.0671131527480715,0.002058744750433159,0.04522978300747771,0.09076348354232174,0.005009415067981513,0.03162873951562449,0.535755706072196,0.014003606089884156,0.0
